time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2013-09-28T14:25:09Z,22617,0,0,0,0,0,38109025,8800,34938792,1888,0,0,0,0,0,136656,0,0,0,0,0,0,0,7320,108,0,6152,2436,1259,33941,0,0,0,0,0, ,0,0,0,0,0,0,135817,0,0,0,17180882121,3,17179874332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,33941,38155,33941,0,33941,0,0,3,33941,0,0,0,0,0,0,0,0,0,0,0,0,5935109,33941,0,0,0,0,21,1095,0,0,645199304,-1,0,0,0,0,0,0,135850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33448,0,407,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
2013-09-28T14:26:09Z,6067,0,0,0,0,0,41549571,9680,38395888,1888,0,0,0,0,0,128746,0,0,0,0,0,0,0,8002,117,0,6745,2707,1330,31972,0,0,0,0,0, ,0,0,0,0,0,0,125113,0,0,0,25770831084,4,25769808998,1,1022,759,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,31933,35272,31933,2,31933,0,0,3,31934,0,0,0,0,0,0,38,1,0,0,2048,1,6464360,31934,0,0,0,0,25,953,0,0,864020632,-1,0,0,0,0,0,0,128114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29539,0,2094,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0
2013-09-28T14:27:09Z,15819,0,0,0,0,0,45822339,10400,42659016,1776,0,0,0,0,0,168820,0,0,0,0,0,0,0,8918,126,0,7421,2986,1518,41841,0,0,0,0,0, ,0,0,0,0,0,0,160511,0,0,0,25770831084,4,25769808998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,41841,45891,41842,2,41841,0,0,3,41843,0,0,0,0,0,0,38,1,0,0,2048,1,7380875,41842,0,0,0,0,11,289,0,0,819397136,-1,0,0,0,0,0,0,167904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35707,0,5594,0,6134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0
2013-09-28T14:28:09Z,21979,0,0,0,0,0,49105131,10400,45935648,1776,0,0,0,0,0,127787,0,0,0,0,0,0,0,9648,135,0,8010,3184,1689,31662,0,0,0,0,0, ,0,0,0,0,0,0,122473,0,0,0,25770831084,4,25769808998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,31662,34806,31662,0,31662,0,0,3,31662,0,0,0,0,0,0,0,0,0,0,0,0,5670401,31662,0,0,0,0,28,812,0,0,908042048,-1,0,0,0,0,0,0,127057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27994,0,3259,0,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0
2013-09-28T14:29:09Z,4085,0,0,0,0,0,51703709,11280,48552120,1776,0,0,0,0,0,85663,0,0,0,0,0,0,0,10130,143,0,8496,3396,1717,21326,0,0,0,0,0, ,0,0,0,0,0,0,85591,0,0,0,34360695455,5,34359743722,1,789,727,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,21287,23759,21287,2,21287,0,0,3,21288,0,0,0,0,0,0,38,1,0,0,2048,1,4704316,21287,0,0,0,0,56,946,0,0,689998904,-1,0,0,0,0,0,0,85231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21257,0,27,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2013-09-28T14:30:09Z,7605,0,0,0,0,0,53843837,11280,50688728,1776,0,0,0,0,0,68248,0,0,0,0,0,0,0,10526,149,0,8890,3577,1734,16963,0,0,0,0,0, ,0,0,0,0,0,0,68234,0,0,0,34360695455,5,34359743722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,16963,18924,16963,0,16963,0,0,3,16963,0,0,0,0,0,0,0,0,0,0,0,0,3377790,16963,0,0,0,0,53,767,1,1496,886037080,-1,0,0,0,0,0,0,67852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16949,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28T14:31:09Z,11589,0,0,0,0,0,55790229,11600,52631136,1776,0,0,0,0,0,77033,0,0,0,0,0,0,0,10958,155,0,9324,3768,1759,19149,0,0,0,0,0, ,0,0,0,0,0,0,76988,0,0,0,34360695455,5,34359743722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,19149,21369,19149,2,19149,0,0,3,19150,0,0,0,0,0,0,38,1,0,0,2048,1,3388338,19150,0,0,0,0,64,957,0,0,868943576,-1,0,0,0,0,0,0,76601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19124,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2013-09-28T14:32:09Z,16429,0,0,0,0,0,58067485,11760,54903552,1776,0,0,0,0,0,90257,0,0,0,0,0,0,0,11479,161,0,9844,3999,1789,22434,0,0,0,0,0, ,0,0,0,0,0,0,90228,0,0,0,34360695455,5,34359743722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,22434,24726,22434,0,22434,0,0,3,22434,0,0,0,0,0,0,0,0,0,0,0,0,3987375,22434,0,0,0,0,55,701,0,0,829361952,-1,0,0,0,0,0,0,89736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22405,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28T14:33:09Z,21269,0,0,0,0,0,60473613,12000,57304840,1776,0,0,0,0,0,93739,0,0,0,0,0,0,0,12033,169,0,10396,4246,1819,23296,0,0,0,0,0, ,0,0,0,0,0,0,93709,0,0,0,34360695455,5,34359743722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,23296,25624,23296,0,23296,0,0,3,23296,0,0,0,0,0,0,0,0,0,0,0,0,4142178,23296,0,0,0,0,52,817,0,0,800638400,-1,0,0,0,0,0,0,93185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23270,0,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-09-28T14:34:09Z,4327,0,0,0,0,0,63144847,12880,59993016,1776,0,0,0,0,0,87668,0,0,0,0,0,0,0,12552,177,0,10918,4474,1850,21817,0,0,0,0,0, ,0,0,0,0,0,0,87569,0,0,0,42951017285,6,42949678541,1,1165,1049,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,21778,24076,21778,2,21778,0,0,3,21779,0,0,0,0,0,0,38,1,0,0,2048,1,5212462,21779,0,0,0,0,55,752,0,0,796250192,-1,0,0,0,0,0,0,87199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21737,0,34,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
